"","Div","Date","AwayTeam","FTAG","FTR","HTAG","HTR","Referee","AS","AST","AF","AC","AY","AR","Passacu2","Aerialsuccess2","possession2","Tackle2"
"52","E0","20/11/17","Stoke",2,"D",2,"A","L Mason",13,6,5,7,0,0,85,56,64,10
"53","E0","24/02/18","Swansea",1,"H",0,"H","M Dean",11,1,6,5,0,0,72,40,48,19
"54","E0","17/04/18","Tottenham",1,"D",0,"D","K Friend",16,6,5,4,0,0,83,62,51,8
"55","E0","23/12/17","Watford",0,"H",0,"D","P Tierney",13,1,11,4,0,0,75,54,46,17
"56","E0","9/9/2017","West Brom",1,"H",0,"H","C Kavanagh",12,3,4,6,0,0,86,48,58,13
"57","E0","3/2/2018","West Ham",1,"H",1,"D","R East",4,1,7,1,1,0,80,39,51,14
"58","E0","26/11/17","Arsenal",1,"A",0,"D","L Mason",17,2,14,5,0,0,84,56,64,11
"59","E0","13/05/18","Bournemouth",2,"A",0,"H","P Tierney",16,5,9,8,0,0,76,45,49,10
"60","E0","28/04/18","Brighton",0,"D",0,"D","R East",9,1,17,4,2,0,74,60,56,11
"61","E0","19/04/18","Chelsea",2,"A",1,"A","R Madley",16,5,11,2,0,0,84,60,61,8
"62","E0","10/9/2017","Crystal Palace",0,"H",0,"H","M Oliver",23,5,14,13,1,0,76,42,65,12
"63","E0","3/3/2018","Everton",1,"H",1,"A","C Kavanagh",10,4,12,4,1,1,66,52,45,11
"64","E0","23/09/17","Huddersfield",0,"D",0,"D","C Kavanagh",9,2,13,4,2,0,76,46,48,25
"65","E0","14/04/18","Leicester",1,"H",0,"H","M Atkinson",15,6,10,8,1,0,72,49,61,11
"66","E0","1/1/2018","Liverpool",2,"A",0,"D","R East",19,5,12,9,0,0,80,43,58,14
"67","E0","3/2/2018","Man City",1,"D",1,"A","M Atkinson",20,7,6,13,1,0,87,46,71,13
"68","E0","20/01/18","Man United",1,"A",0,"D","M Dean",12,2,12,4,3,0,79,74,52,13
"69","E0","30/10/17","Newcastle",0,"H",0,"D","M Dean",12,5,10,3,0,0,79,55,53,10
"70","E0","24/02/18","Southampton",1,"D",0,"D","R Madley",13,6,14,5,0,0,66,44,50,23
"71","E0","12/12/2017","Stoke",0,"H",0,"D","M Jones",14,7,14,4,0,0,62,59,49,17
"72","E0","18/11/17","Swansea",0,"H",0,"H","M Atkinson",13,1,12,6,1,0,81,48,61,10
"73","E0","23/12/17","Tottenham",3,"A",1,"A","M Oliver",18,8,10,4,2,0,80,61,60,9
